Q-wave(ms)	S-wave(ms)	QS-width(ms)	Abnormal or Normal
0	1447	1447	Large Width (QS > 120ms)
-44	1658	1702	Large Width (QS > 120ms)
1769	0	
2136	2219	83	Normal Width
2511	2927	416	Large Width (QS > 120ms)
2908	3300	392	Large Width (QS > 120ms)
3280	3675	395	Large Width (QS > 120ms)
3655	4041	386	Large Width (QS > 120ms)
-44	4769	4813	Large Width (QS > 120ms)
5869	5961	92	Normal Width
6266	6711	445	Large Width (QS > 120ms)
6694	7094	400	Large Width (QS > 120ms)
7075	7475	400	Large Width (QS > 120ms)
7455	7844	389	Large Width (QS > 120ms)
7825	8455	630	Large Width (QS > 120ms)
11305	11983	678	Large Width (QS > 120ms)
11966	12422	456	Large Width (QS > 120ms)
12402	12786	384	Large Width (QS > 120ms)
12766	13388	622	Large Width (QS > 120ms)
13372	14002	630	Large Width (QS > 120ms)
13983	14602	619	Large Width (QS > 120ms)
14583	15202	619	Large Width (QS > 120ms)
15183	15811	628	Large Width (QS > 120ms)
15791	0	
16380	17036	656	Large Width (QS > 120ms)
17016	17669	653	Large Width (QS > 120ms)
17650	18333	683	Large Width (QS > 120ms)
18316	19002	686	Large Width (QS > 120ms)
18986	19658	672	Large Width (QS > 120ms)
19641	20316	675	Large Width (QS > 120ms)
20300	20952	652	Large Width (QS > 120ms)
20933	21513	580	Large Width (QS > 120ms)
21494	22186	692	Large Width (QS > 120ms)
22733	23427	694	Large Width (QS > 120ms)
23408	24088	680	Large Width (QS > 120ms)
24072	24752	680	Large Width (QS > 120ms)
24736	25422	686	Large Width (QS > 120ms)
25402	26038	636	Large Width (QS > 120ms)
26022	26666	644	Large Width (QS > 120ms)
26647	27286	639	Large Width (QS > 120ms)
27266	27922	656	Large Width (QS > 120ms)
27902	28544	642	Large Width (QS > 120ms)
28525	29169	644	Large Width (QS > 120ms)
29152	29827	675	Large Width (QS > 120ms)
29808	30458	650	Large Width (QS > 120ms)
30438	31150	712	Large Width (QS > 120ms)
31133	31797	664	Large Width (QS > 120ms)
31777	32450	673	Large Width (QS > 120ms)
32433	33105	672	Large Width (QS > 120ms)
33088	33761	673	Large Width (QS > 120ms)
33741	34383	642	Large Width (QS > 120ms)
34366	34997	631	Large Width (QS > 120ms)
34980	35650	670	Large Width (QS > 120ms)
35630	36338	708	Large Width (QS > 120ms)
36319	37030	711	Large Width (QS > 120ms)
37013	37694	681	Large Width (QS > 120ms)
37675	38344	669	Large Width (QS > 120ms)
38325	38983	658	Large Width (QS > 120ms)
38963	39619	656	Large Width (QS > 120ms)
39600	40250	650	Large Width (QS > 120ms)
40230	40866	636	Large Width (QS > 120ms)
40847	41525	678	Large Width (QS > 120ms)
41508	42211	703	Large Width (QS > 120ms)
42194	42877	683	Large Width (QS > 120ms)
42861	43522	661	Large Width (QS > 120ms)
43502	44161	659	Large Width (QS > 120ms)
44141	44822	681	Large Width (QS > 120ms)
44802	45347	545	Large Width (QS > 120ms)
45327	46100	773	Large Width (QS > 120ms)
46080	46711	631	Large Width (QS > 120ms)
46691	47375	684	Large Width (QS > 120ms)
47355	48044	689	Large Width (QS > 120ms)
48027	48705	678	Large Width (QS > 120ms)
48688	49380	692	Large Width (QS > 120ms)
49361	50019	658	Large Width (QS > 120ms)
50000	50655	655	Large Width (QS > 120ms)
50636	51302	666	Large Width (QS > 120ms)
51286	51930	644	Large Width (QS > 120ms)
51913	52538	625	Large Width (QS > 120ms)
52516	53197	681	Large Width (QS > 120ms)
53177	53888	711	Large Width (QS > 120ms)
53872	54572	700	Large Width (QS > 120ms)
54555	55216	661	Large Width (QS > 120ms)
55200	55855	655	Large Width (QS > 120ms)
55836	56508	672	Large Width (QS > 120ms)
56488	57133	645	Large Width (QS > 120ms)
57113	57761	648	Large Width (QS > 120ms)
57744	58400	656	Large Width (QS > 120ms)
58380	59011	631	Large Width (QS > 120ms)
58991	59669	678	Large Width (QS > 120ms)
59650	60325	675	Large Width (QS > 120ms)
60308	60997	689	Large Width (QS > 120ms)
60980	61661	681	Large Width (QS > 120ms)
61641	62308	667	Large Width (QS > 120ms)
62288	62788	500	Large Width (QS > 120ms)
62769	63519	750	Large Width (QS > 120ms)
63500	64169	669	Large Width (QS > 120ms)
64150	64775	625	Large Width (QS > 120ms)
64755	65413	658	Large Width (QS > 120ms)
65394	66077	683	Large Width (QS > 120ms)
66061	66738	677	Large Width (QS > 120ms)
66722	67394	672	Large Width (QS > 120ms)
67377	68033	656	Large Width (QS > 120ms)
68016	68663	647	Large Width (QS > 120ms)
68644	69169	525	Large Width (QS > 120ms)
69150	69902	752	Large Width (QS > 120ms)
69886	70536	650	Large Width (QS > 120ms)
71116	71791	675	Large Width (QS > 120ms)
71772	72455	683	Large Width (QS > 120ms)
72438	73111	673	Large Width (QS > 120ms)
73094	73741	647	Large Width (QS > 120ms)
73722	74386	664	Large Width (QS > 120ms)
74366	75019	653	Large Width (QS > 120ms)
75000	75661	661	Large Width (QS > 120ms)
75644	76288	644	Large Width (QS > 120ms)
76272	76894	622	Large Width (QS > 120ms)
76875	77552	677	Large Width (QS > 120ms)
77536	78238	702	Large Width (QS > 120ms)
78222	78919	697	Large Width (QS > 120ms)
78900	79577	677	Large Width (QS > 120ms)
79561	80211	650	Large Width (QS > 120ms)
80191	80841	650	Large Width (QS > 120ms)
80822	81455	633	Large Width (QS > 120ms)
81436	81986	550	Large Width (QS > 120ms)
81966	82655	689	Large Width (QS > 120ms)
82636	83286	650	Large Width (QS > 120ms)
83269	83936	667	Large Width (QS > 120ms)
83919	84569	650	Large Width (QS > 120ms)
84552	85202	650	Large Width (QS > 120ms)
85183	85830	647	Large Width (QS > 120ms)
85808	86483	675	Large Width (QS > 120ms)
86466	0	
86911	87161	250	Large Width (QS > 120ms)
87300	87386	86	Normal Width
87869	88666	797	Large Width (QS > 120ms)
88647	89333	686	Large Width (QS > 120ms)
89313	90000	687	Large Width (QS > 120ms)
89983	90652	669	Large Width (QS > 120ms)
90633	91311	678	Large Width (QS > 120ms)
91291	91938	647	Large Width (QS > 120ms)
91922	92566	644	Large Width (QS > 120ms)
92547	93183	636	Large Width (QS > 120ms)
93166	93786	620	Large Width (QS > 120ms)
93766	94391	625	Large Width (QS > 120ms)
94372	94930	558	Large Width (QS > 120ms)
94911	95638	727	Large Width (QS > 120ms)
95622	96302	680	Large Width (QS > 120ms)
96286	96952	666	Large Width (QS > 120ms)
96933	97588	655	Large Width (QS > 120ms)
97572	98155	583	Large Width (QS > 120ms)
98136	98858	722	Large Width (QS > 120ms)
98841	99502	661	Large Width (QS > 120ms)
99483	0	
100091	100758	667	Large Width (QS > 120ms)
100738	101258	520	Large Width (QS > 120ms)
101238	102044	806	Large Width (QS > 120ms)
102025	102700	675	Large Width (QS > 120ms)
102683	103372	689	Large Width (QS > 120ms)
103355	104025	670	Large Width (QS > 120ms)
104008	104655	647	Large Width (QS > 120ms)
104638	105277	639	Large Width (QS > 120ms)
105258	105900	642	Large Width (QS > 120ms)
105880	106513	633	Large Width (QS > 120ms)
106491	107127	636	Large Width (QS > 120ms)
107105	107783	678	Large Width (QS > 120ms)
107766	108452	686	Large Width (QS > 120ms)
108433	109119	686	Large Width (QS > 120ms)
109102	109747	645	Large Width (QS > 120ms)
109727	110380	653	Large Width (QS > 120ms)
110361	111005	644	Large Width (QS > 120ms)
110988	111638	650	Large Width (QS > 120ms)
111619	112286	667	Large Width (QS > 120ms)
112266	112908	642	Large Width (QS > 120ms)
112888	113563	675	Large Width (QS > 120ms)
113547	114230	683	Large Width (QS > 120ms)
114213	114894	681	Large Width (QS > 120ms)
114877	115563	686	Large Width (QS > 120ms)
115544	116213	669	Large Width (QS > 120ms)
116197	116863	666	Large Width (QS > 120ms)
116847	117511	664	Large Width (QS > 120ms)
117491	118147	656	Large Width (QS > 120ms)
118125	118741	616	Large Width (QS > 120ms)
118722	119383	661	Large Width (QS > 120ms)
119363	120069	706	Large Width (QS > 120ms)
120050	120744	694	Large Width (QS > 120ms)
120727	121397	670	Large Width (QS > 120ms)
121377	122038	661	Large Width (QS > 120ms)
122019	122680	661	Large Width (QS > 120ms)
122661	123255	594	Large Width (QS > 120ms)
123236	123916	680	Large Width (QS > 120ms)
123897	0	
124497	0	
125122	125822	700	Large Width (QS > 120ms)
125802	126480	678	Large Width (QS > 120ms)
126463	127136	673	Large Width (QS > 120ms)
127119	127769	650	Large Width (QS > 120ms)
127750	128413	663	Large Width (QS > 120ms)
128394	129058	664	Large Width (QS > 120ms)
129038	129683	645	Large Width (QS > 120ms)
129666	130302	636	Large Width (QS > 120ms)
130283	130894	611	Large Width (QS > 120ms)
130877	131544	667	Large Width (QS > 120ms)
131525	132141	616	Large Width (QS > 120ms)
132122	132883	761	Large Width (QS > 120ms)
132866	133552	686	Large Width (QS > 120ms)
133536	134219	683	Large Width (QS > 120ms)
134200	134863	663	Large Width (QS > 120ms)
134844	135277	433	Large Width (QS > 120ms)
135255	135636	381	Large Width (QS > 120ms)
135616	0	
135983	136458	475	Large Width (QS > 120ms)
136441	137008	567	Large Width (QS > 120ms)
136991	137480	489	Large Width (QS > 120ms)
137458	137869	411	Large Width (QS > 120ms)
137852	138275	423	Large Width (QS > 120ms)
138255	138316	61	Small Width (QS < 80ms)
138619	139055	436	Large Width (QS > 120ms)
139036	139450	414	Large Width (QS > 120ms)
139430	139819	389	Large Width (QS > 120ms)
-44	139861	139905	Large Width (QS > 120ms)
140163	140575	412	Large Width (QS > 120ms)
140555	140958	403	Large Width (QS > 120ms)
140938	141338	400	Large Width (QS > 120ms)
141319	141713	394	Large Width (QS > 120ms)
141694	142100	406	Large Width (QS > 120ms)
142080	0	
142430	142522	92	Normal Width
142783	142872	89	Normal Width
143166	143313	147	Large Width (QS > 120ms)
143544	143650	106	Normal Width
143925	144358	433	Large Width (QS > 120ms)
144341	0	
144708	145147	439	Large Width (QS > 120ms)
145127	145547	420	Large Width (QS > 120ms)
145527	145925	398	Large Width (QS > 120ms)
-44	0	
146269	146691	422	Large Width (QS > 120ms)
146675	146763	88	Normal Width
147011	147102	91	Normal Width
147377	147638	261	Large Width (QS > 120ms)
147738	147825	87	Normal Width
148097	148183	86	Normal Width
148458	148836	378	Large Width (QS > 120ms)
148816	149211	395	Large Width (QS > 120ms)
149191	149597	406	Large Width (QS > 120ms)
149575	149983	408	Large Width (QS > 120ms)
149966	150386	420	Large Width (QS > 120ms)
150366	150775	409	Large Width (QS > 120ms)
150755	151158	403	Large Width (QS > 120ms)
151138	151544	406	Large Width (QS > 120ms)
151525	151911	386	Large Width (QS > 120ms)
151891	0	
152233	0	
152602	152688	86	Normal Width
152975	0	
153350	153763	413	Large Width (QS > 120ms)
153744	154125	381	Large Width (QS > 120ms)
154102	154483	381	Large Width (QS > 120ms)
154463	154841	378	Large Width (QS > 120ms)
154822	155211	389	Large Width (QS > 120ms)
155191	155597	406	Large Width (QS > 120ms)
155577	155988	411	Large Width (QS > 120ms)
155969	156372	403	Large Width (QS > 120ms)
156352	156416	64	Small Width (QS < 80ms)
156719	157136	417	Large Width (QS > 120ms)
157113	157175	62	Small Width (QS < 80ms)
157472	0	
157850	158269	419	Large Width (QS > 120ms)
158250	158655	405	Large Width (QS > 120ms)
158636	159027	391	Large Width (QS > 120ms)
159005	159397	392	Large Width (QS > 120ms)
159375	159766	391	Large Width (QS > 120ms)
159747	160138	391	Large Width (QS > 120ms)
160119	160497	378	Large Width (QS > 120ms)
160475	160844	369	Large Width (QS > 120ms)
160827	161222	395	Large Width (QS > 120ms)
161202	161611	409	Large Width (QS > 120ms)
161591	162013	422	Large Width (QS > 120ms)
161994	162397	403	Large Width (QS > 120ms)
162377	162805	428	Large Width (QS > 120ms)
162783	162847	64	Small Width (QS < 80ms)
163286	163938	652	Large Width (QS > 120ms)
163922	164533	611	Large Width (QS > 120ms)
164513	165138	625	Large Width (QS > 120ms)
165119	165722	603	Large Width (QS > 120ms)
165705	166336	631	Large Width (QS > 120ms)
166316	166955	639	Large Width (QS > 120ms)
166936	167616	680	Large Width (QS > 120ms)
167597	168297	700	Large Width (QS > 120ms)
168277	168983	706	Large Width (QS > 120ms)
168963	169672	709	Large Width (QS > 120ms)
169652	170366	714	Large Width (QS > 120ms)
170347	171022	675	Large Width (QS > 120ms)
171005	171683	678	Large Width (QS > 120ms)
171663	172311	648	Large Width (QS > 120ms)
172291	172911	620	Large Width (QS > 120ms)
172894	173391	497	Large Width (QS > 120ms)
173375	174175	800	Large Width (QS > 120ms)
174158	174852	694	Large Width (QS > 120ms)
174836	175516	680	Large Width (QS > 120ms)
175497	176138	641	Large Width (QS > 120ms)
176119	176766	647	Large Width (QS > 120ms)
176747	177372	625	Large Width (QS > 120ms)
177352	177986	634	Large Width (QS > 120ms)
177966	178594	628	Large Width (QS > 120ms)
178575	179025	450	Large Width (QS > 120ms)
179005	179397	392	Large Width (QS > 120ms)
179380	179791	411	Large Width (QS > 120ms)
179772	0	
180130	180375	245	Large Width (QS > 120ms)
180505	180591	86	Normal Width
180897	0	
181283	181372	89	Normal Width
181666	0	
182050	182475	425	Large Width (QS > 120ms)
182455	182866	411	Large Width (QS > 120ms)
182847	183244	397	Large Width (QS > 120ms)
183227	183627	400	Large Width (QS > 120ms)
183608	183672	64	Small Width (QS < 80ms)
183972	184386	414	Large Width (QS > 120ms)
184366	184555	189	Large Width (QS > 120ms)
184705	184950	245	Large Width (QS > 120ms)
185086	185341	255	Large Width (QS > 120ms)
185472	185613	141	Large Width (QS > 120ms)
185863	186127	264	Large Width (QS > 120ms)
186255	186341	86	Normal Width
186633	186772	139	Large Width (QS > 120ms)
187025	187452	427	Large Width (QS > 120ms)
187433	0	
187775	0	
188161	188402	241	Large Width (QS > 120ms)
188536	188955	419	Large Width (QS > 120ms)
188938	189327	389	Large Width (QS > 120ms)
189308	189511	203	Large Width (QS > 120ms)
189641	189858	217	Large Width (QS > 120ms)
190011	190097	86	Normal Width
190369	190455	86	Normal Width
190705	191127	422	Large Width (QS > 120ms)
-44	191505	191549	Large Width (QS > 120ms)
191488	191894	406	Large Width (QS > 120ms)
191875	192294	419	Large Width (QS > 120ms)
192275	0	
192630	0	
193019	193452	433	Large Width (QS > 120ms)
193433	193811	378	Large Width (QS > 120ms)
193791	193852	61	Small Width (QS < 80ms)
194125	194211	86	Normal Width
194488	194902	414	Large Width (QS > 120ms)
194883	0	
195230	195644	414	Large Width (QS > 120ms)
195625	196002	377	Large Width (QS > 120ms)
195983	0	
196316	196702	386	Large Width (QS > 120ms)
196683	0	
197013	0	
197405	197530	125	Large Width (QS > 120ms)
197777	198208	431	Large Width (QS > 120ms)
198188	198605	417	Large Width (QS > 120ms)
198586	198980	394	Large Width (QS > 120ms)
198961	199363	402	Large Width (QS > 120ms)
199347	199750	403	Large Width (QS > 120ms)
199730	199802	72	Small Width (QS < 80ms)
200088	200188	100	Normal Width
200483	201013	530	Large Width (QS > 120ms)
200994	201558	564	Large Width (QS > 120ms)
201541	202102	561	Large Width (QS > 120ms)
202083	202619	536	Large Width (QS > 120ms)
202600	203175	575	Large Width (QS > 120ms)
203158	203783	625	Large Width (QS > 120ms)
203766	204419	653	Large Width (QS > 120ms)
204400	0	
205050	0	
205713	206441	728	Large Width (QS > 120ms)
206425	207147	722	Large Width (QS > 120ms)
207127	207833	706	Large Width (QS > 120ms)
207816	208516	700	Large Width (QS > 120ms)
208494	209200	706	Large Width (QS > 120ms)
209183	209897	714	Large Width (QS > 120ms)
209880	210591	711	Large Width (QS > 120ms)
210575	211277	702	Large Width (QS > 120ms)
211261	211955	694	Large Width (QS > 120ms)
211938	212616	678	Large Width (QS > 120ms)
212600	213247	647	Large Width (QS > 120ms)
213230	213861	631	Large Width (QS > 120ms)
213841	214488	647	Large Width (QS > 120ms)
214466	215094	628	Large Width (QS > 120ms)
215075	215736	661	Large Width (QS > 120ms)
215716	216394	678	Large Width (QS > 120ms)
216377	216877	500	Large Width (QS > 120ms)
216858	217655	797	Large Width (QS > 120ms)
217638	218288	650	Large Width (QS > 120ms)
218269	218905	636	Large Width (QS > 120ms)
218888	219513	625	Large Width (QS > 120ms)
219494	220119	625	Large Width (QS > 120ms)
220102	220719	617	Large Width (QS > 120ms)
220700	221347	647	Large Width (QS > 120ms)
221327	221994	667	Large Width (QS > 120ms)
221977	222622	645	Large Width (QS > 120ms)
222605	223252	647	Large Width (QS > 120ms)
223233	223886	653	Large Width (QS > 120ms)
223866	224494	628	Large Width (QS > 120ms)
224475	225119	644	Large Width (QS > 120ms)
225100	225627	527	Large Width (QS > 120ms)
225608	226322	714	Large Width (QS > 120ms)
226302	226916	614	Large Width (QS > 120ms)
226897	227530	633	Large Width (QS > 120ms)
227511	228177	666	Large Width (QS > 120ms)
228161	228775	614	Large Width (QS > 120ms)
228758	229475	717	Large Width (QS > 120ms)
229455	230086	631	Large Width (QS > 120ms)
230069	230694	625	Large Width (QS > 120ms)
230675	231300	625	Large Width (QS > 120ms)
231280	231769	489	Large Width (QS > 120ms)
231750	232444	694	Large Width (QS > 120ms)
232425	233058	633	Large Width (QS > 120ms)
233038	233719	681	Large Width (QS > 120ms)
233702	234391	689	Large Width (QS > 120ms)
234372	235036	664	Large Width (QS > 120ms)
235019	235669	650	Large Width (QS > 120ms)
235652	236286	634	Large Width (QS > 120ms)
236269	236913	644	Large Width (QS > 120ms)
236897	237538	641	Large Width (QS > 120ms)
237519	238141	622	Large Width (QS > 120ms)
238122	238736	614	Large Width (QS > 120ms)
238716	239352	636	Large Width (QS > 120ms)
239333	240002	669	Large Width (QS > 120ms)
239986	240602	616	Large Width (QS > 120ms)
240583	241297	714	Large Width (QS > 120ms)
241280	241927	647	Large Width (QS > 120ms)
241911	242572	661	Large Width (QS > 120ms)
242555	243180	625	Large Width (QS > 120ms)
243161	243686	525	Large Width (QS > 120ms)
243666	244372	706	Large Width (QS > 120ms)
244352	244977	625	Large Width (QS > 120ms)
244961	245630	669	Large Width (QS > 120ms)
245613	246272	659	Large Width (QS > 120ms)
246255	246811	556	Large Width (QS > 120ms)
246791	247525	734	Large Width (QS > 120ms)
247508	248141	633	Large Width (QS > 120ms)
248122	248777	655	Large Width (QS > 120ms)
248758	249391	633	Large Width (QS > 120ms)
249372	250013	641	Large Width (QS > 120ms)
249994	250608	614	Large Width (QS > 120ms)
250588	251197	609	Large Width (QS > 120ms)
251180	251825	645	Large Width (QS > 120ms)
251808	252441	633	Large Width (QS > 120ms)
252422	253061	639	Large Width (QS > 120ms)
253041	253677	636	Large Width (QS > 120ms)
253661	254294	633	Large Width (QS > 120ms)
254275	254891	616	Large Width (QS > 120ms)
254872	255480	608	Large Width (QS > 120ms)
255461	256072	611	Large Width (QS > 120ms)
256052	256644	592	Large Width (QS > 120ms)
256625	257252	627	Large Width (QS > 120ms)
257233	257880	647	Large Width (QS > 120ms)
257861	258519	658	Large Width (QS > 120ms)
258502	259177	675	Large Width (QS > 120ms)
259158	259797	639	Large Width (QS > 120ms)
259777	260408	631	Large Width (QS > 120ms)
260388	261008	620	Large Width (QS > 120ms)
260988	261627	639	Large Width (QS > 120ms)
261608	262250	642	Large Width (QS > 120ms)
262230	262836	606	Large Width (QS > 120ms)
262819	263469	650	Large Width (QS > 120ms)
263450	264058	608	Large Width (QS > 120ms)
264038	264738	700	Large Width (QS > 120ms)
264722	265380	658	Large Width (QS > 120ms)
265363	265988	625	Large Width (QS > 120ms)
265972	266616	644	Large Width (QS > 120ms)
266597	267238	641	Large Width (QS > 120ms)
267219	267836	617	Large Width (QS > 120ms)
267816	268444	628	Large Width (QS > 120ms)
268425	269025	600	Large Width (QS > 120ms)
269005	269655	650	Large Width (QS > 120ms)
269636	270313	677	Large Width (QS > 120ms)
270294	270972	678	Large Width (QS > 120ms)
270952	271611	659	Large Width (QS > 120ms)
271591	272213	622	Large Width (QS > 120ms)
272194	272825	631	Large Width (QS > 120ms)
272805	273444	639	Large Width (QS > 120ms)
273425	274041	616	Large Width (QS > 120ms)
274022	274630	608	Large Width (QS > 120ms)
274611	275247	636	Large Width (QS > 120ms)
275227	275894	667	Large Width (QS > 120ms)
275875	276536	661	Large Width (QS > 120ms)
276516	277158	642	Large Width (QS > 120ms)
277141	0	
